checkpoint_task,eval_task,eval_name,protocol,memory_view,variant,nll_per_event,accuracy,local_time_mae,events
5,5,task_05_test,frozen,full,frozen/full,2.9879607212396317,0.38271604938271603,1.1687745365095727,2025
5,6,task_06_test_pre,frozen,full,frozen/full,3.1983502258976664,0.12325469427058257,0.9975571308677794,2077
5,6,task_06_control_pre,frozen,full,frozen/full,3.3006431153546694,0.1004223369310183,1.1253280433787252,2131
5,,anchor_A_1,frozen,full,frozen/full,2.94186980699931,0.379671506784099,1.1659484065109649,4201
5,,anchor_B_1,frozen,full,frozen/full,3.370212959370619,0.17355371900826447,1.2626144409179687,4235
5,,anchor_C_1,frozen,full,frozen/full,3.086082556629542,0.10138713745271122,0.9514138619806547,3965
5,,anchor_B_prime_1,frozen,full,frozen/full,3.314263750026443,0.19237108547209794,1.2737104255563094,4247
5,,anchor_A_2,frozen,full,frozen/full,3.065458025115656,0.35396470295799154,1.174257901424263,4023
5,,anchor_X_transient,frozen,full,frozen/full,3.0848000413203507,0.3009754936949798,1.0847727330616477,4203
5,,anchor_A_merge,frozen,full,frozen/full,2.9414500030311377,0.35834942084942084,1.1081912821324176,4144
5,,anchor_E_1,frozen,full,frozen/full,3.331336063902225,0.10230053842388644,1.016201346047766,4086
5,5,task_05_test,fast_adapt,full,fast_adapt/full,2.988048091935523,0.38320987654320987,1.1687482866828824,2025
5,6,task_06_test_pre,fast_adapt,full,fast_adapt/full,3.1974165084904986,0.1242176215695715,0.9975718147891269,2077
5,6,task_06_control_pre,fast_adapt,full,fast_adapt/full,3.2998174616340625,0.1004223369310183,1.1253624741094652,2131
5,,anchor_A_1,fast_adapt,full,fast_adapt/full,2.941950597583723,0.3794334682218519,1.1659138612990094,4201
5,,anchor_B_1,fast_adapt,full,fast_adapt/full,3.3699096301370415,0.17402597402597403,1.2624857050187472,4235
5,,anchor_C_1,fast_adapt,full,fast_adapt/full,3.084996710028053,0.10138713745271122,0.9514349515320825,3965
5,,anchor_B_prime_1,fast_adapt,full,fast_adapt/full,3.3139368914592287,0.19237108547209794,1.273575868330368,4247
5,,anchor_A_2,fast_adapt,full,fast_adapt/full,3.065499013909765,0.3534675615212528,1.1742362921551452,4023
