anchor_index,checkpoint,checkpoint_task,evaluation_scope,events,first_seen_task,nise,nise_type_0,nise_type_1,nise_type_2,nise_type_3,nise_type_4,nise_type_5,nise_type_6,nise_type_7,plot_path,regime_id,variant
60,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,77,4,0.5885017752556999,2.8749133529320674,2.460455535245148,0.34689985946294055,0.5642318858434654,0.4285782084461392,0.5443273776811329,0.6044387378866314,0.2816877080371515,,B_prime_1,frozen/full
61,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,74,4,0.5977573575831323,1.7449914280471597,1.8570364845030187,0.2976956870620691,0.47968793645560354,0.5100176179123138,0.4877316537722103,0.5926601823047065,0.21765418267377487,,B_prime_1,frozen/full
62,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,74,4,0.6067010695772254,5.7805908613669645,6.824934595437138,0.3114155783385411,0.4711509914430785,0.518028675371978,0.46897040982471483,0.6482837322320711,0.4243843913354073,,B_prime_1,frozen/full
63,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,80,4,0.6145860019521351,2.2546232040834355,2.5482032205812937,0.32317993987773513,0.5504266258321276,0.5385614390152219,0.48345225984824935,0.6132942630364299,0.29257764270479936,,B_prime_1,frozen/full
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,51,5,0.232233852105419,0.49200973752881827,0.19165294145701228,0.05841957576363364,0.28229650797561884,0.46583435440985466,0.31381942246221556,0.06037594005169884,0.028154018595951347,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/native/intensity_curves/checkpoint_task_07/A_2_000.png,A_2,frozen/full
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,68,5,0.21954443956439232,0.24246169766572925,0.12771662462249583,0.0324279798847383,0.26619596722365924,3.672262512296265,2.6910644475450307,0.06502570416851691,0.01835347866195939,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/native/intensity_curves/checkpoint_task_07/A_2_001.png,A_2,frozen/full
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,66,5,0.20228625288982313,0.23522285520662944,0.18211828904558974,0.12970743218870703,0.18095501576769452,0.7531229556361038,0.9554521178125064,0.04589112884138776,0.023793135710019345,,A_2,frozen/full
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,72,5,0.2177428572120935,0.26181525992480204,0.16063307785714756,0.0637542278702749,0.22664738947466173,1.639951289638365,1.1724474460410872,0.04635578500838103,0.019390377030077146,,A_2,frozen/full
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,52,5,0.23211573246352593,0.24902064379990704,0.18523336514789035,0.04217599046684752,0.29207813201919547,1.4143978381844693,1.1437207507056222,0.049026351328076805,0.025951608124752903,,A_2,frozen/full
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,66,5,0.2136787804339846,0.2243285093422577,0.17190770106850087,0.07256085409855637,0.21330283698311212,2.0283618758304995,1.486004303427569,0.06079657483582474,0.018884728332830877,,A_2,frozen/full
